                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1288,                0.62823,                 1.1575,                0.95958,                0.92075,                0.97122,                0.67861,                  1.122,                0.56463,                 1.2241,               0.000878,               0.000878,               0.000878
                     37,                 1.1077,                0.61645,                 1.1486,                0.96174,                0.91778,                0.97164,                0.67781,                 1.1107,                 0.5725,                 1.2254,               0.000845,               0.000845,               0.000845
                     38,                 1.1173,                0.61994,                 1.1485,                0.96656,                0.92253,                0.97195,                0.68487,                 1.1241,                0.56852,                 1.2297,               0.000812,               0.000812,               0.000812
                     39,                 1.1013,                0.59799,                 1.1407,                0.95109,                0.93589,                0.97321,                0.68218,                  1.132,                0.55723,                 1.2365,               0.000779,               0.000779,               0.000779
                     40,                 1.0992,                0.59815,                  1.143,                0.96368,                0.92876,                  0.976,                0.67925,                 1.1369,                0.56376,                 1.2387,               0.000746,               0.000746,               0.000746
                     41,                 1.0926,                0.58973,                 1.1324,                0.96129,                0.92879,                0.97273,                0.68026,                  1.127,                0.55317,                  1.236,               0.000713,               0.000713,               0.000713
                     42,                 1.0822,                0.59671,                 1.1372,                0.95612,                0.93136,                0.97515,                0.68989,                 1.1116,                 0.5554,                 1.2293,                0.00068,                0.00068,                0.00068
                     43,                 1.0922,                0.58934,                 1.1353,                0.95734,                0.93232,                 0.9718,                0.67902,                 1.1352,                0.55959,                 1.2308,               0.000647,               0.000647,               0.000647
                     44,                 1.0771,                0.58631,                 1.1301,                0.94834,                0.93174,                0.96968,                 0.6856,                 1.1192,                0.55042,                 1.2295,               0.000614,               0.000614,               0.000614
                     45,                  1.072,                0.58141,                 1.1305,                0.95283,                0.93232,                0.97274,                0.68916,                 1.1069,                0.53805,                 1.2259,               0.000581,               0.000581,               0.000581
                     46,                 1.0588,                0.56379,                 1.1239,                0.96027,                0.92541,                0.97381,                0.69297,                 1.0989,                0.53867,                 1.2208,               0.000548,               0.000548,               0.000548
                     47,                 1.0655,                0.56483,                  1.126,                0.95444,                  0.935,                0.97402,                0.69414,                  1.095,                0.52602,                 1.2169,               0.000515,               0.000515,               0.000515
                     48,                 1.0551,                0.56484,                 1.1149,                0.96156,                0.93555,                0.97879,                0.69638,                 1.0915,                0.52801,                 1.2208,               0.000482,               0.000482,               0.000482
                     49,                 1.0417,                0.55966,                 1.1066,                0.97432,                0.91986,                0.97801,                0.69363,                 1.1055,                0.52889,                 1.2265,               0.000449,               0.000449,               0.000449
                     50,                   1.05,                0.56588,                 1.1144,                0.96858,                0.93347,                0.97845,                0.69951,                 1.0936,                0.52367,                 1.2184,               0.000416,               0.000416,               0.000416
                     51,                0.99416,                0.51533,                 1.1385,                0.96279,                0.92159,                0.97406,                0.69374,                  1.105,                0.53581,                 1.2312,               0.000383,               0.000383,               0.000383
                     52,                0.97202,                0.49634,                 1.1192,                0.96209,                0.92648,                0.97507,                0.69951,                 1.0951,                0.52967,                 1.2186,                0.00035,                0.00035,                0.00035
                     53,                0.97573,                0.49647,                 1.1119,                0.95884,                0.93054,                0.97677,                0.69626,                 1.0893,                 0.5245,                 1.2257,               0.000317,               0.000317,               0.000317
                     54,                0.96079,                0.49096,                 1.1151,                0.96418,                0.93467,                0.97714,                0.70037,                 1.0937,                0.52301,                 1.2289,               0.000284,               0.000284,               0.000284
                     55,                0.95028,                0.48487,                 1.1011,                0.96779,                0.93642,                 0.9762,                0.69871,                 1.0799,                0.52402,                 1.2215,               0.000251,               0.000251,               0.000251
                     56,                0.94339,                0.47619,                 1.1006,                0.96607,                0.93232,                0.97671,                0.70214,                 1.0794,                0.52147,                 1.2182,               0.000218,               0.000218,               0.000218
                     57,                0.94282,                0.47634,                 1.1027,                0.96688,                0.93588,                0.97584,                0.70029,                 1.0751,                0.52184,                 1.2157,               0.000185,               0.000185,               0.000185
                     58,                0.94461,                0.47646,                 1.1005,                0.96602,                0.93665,                0.97616,                0.69823,                 1.0688,                0.51867,                 1.2162,               0.000152,               0.000152,               0.000152
                     59,                0.94064,                0.47588,                 1.0955,                0.96419,                0.93232,                 0.9755,                0.70036,                 1.0675,                0.51775,                 1.2144,               0.000119,               0.000119,               0.000119
                     60,                0.93232,                0.46925,                 1.0914,                0.96213,                0.93856,                0.97672,                0.70322,                 1.0676,                0.51731,                 1.2164,                8.6e-05,                8.6e-05,                8.6e-05
