                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6389,                 5.4348,                  3.167,                0.16713,                0.24844,                0.11113,                0.03809,                 2.6192,                 3.3953,                  2.384,             0.00066467,             0.00066467,             0.00066467
                      2,                 2.5085,                 2.6629,                 2.1064,                0.38409,                0.34817,                0.29264,                0.11283,                 2.2082,                  2.247,                 2.0182,              0.0012984,              0.0012984,              0.0012984
                      3,                 2.2361,                 2.1641,                 1.8914,                0.49682,                0.42466,                0.44423,                0.18535,                 2.0266,                  1.942,                 1.8405,              0.0018991,              0.0018991,              0.0018991
                      4,                  2.023,                 1.8881,                 1.7443,                 0.7254,                0.57346,                0.65031,                0.31379,                  1.809,                 1.7478,                 1.6977,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.9087,                 1.6767,                 1.6581,                0.78326,                0.65648,                0.73744,                0.35912,                 1.7712,                 1.4851,                 1.6564,              0.0018515,              0.0018515,              0.0018515
                      6,                  1.839,                 1.5723,                 1.6003,                0.79327,                0.67676,                0.76326,                0.39396,                 1.6629,                 1.4501,                 1.5802,               0.001802,               0.001802,               0.001802
                      7,                 1.7862,                 1.4998,                 1.5619,                0.83944,                0.71149,                  0.806,                0.43295,                  1.618,                 1.2787,                 1.5687,              0.0017525,              0.0017525,              0.0017525
                      8,                 1.6979,                 1.3857,                 1.5108,                0.83826,                0.73843,                0.82331,                0.46044,                 1.5565,                  1.293,                 1.5194,               0.001703,               0.001703,               0.001703
                      9,                 1.6563,                 1.3009,                   1.49,                0.86326,                 0.7293,                0.83373,                0.48035,                 1.5588,                 1.1437,                 1.5171,              0.0016535,              0.0016535,              0.0016535
                     10,                 1.6448,                 1.2759,                 1.4645,                0.83654,                0.75191,                 0.8393,                0.48057,                 1.5113,                  1.207,                 1.4809,               0.001604,               0.001604,               0.001604
                     11,                 1.5898,                 1.1948,                 1.4341,                0.87023,                0.79786,                0.87433,                0.51848,                 1.4775,                 1.0345,                 1.4526,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.5725,                 1.1697,                 1.4258,                0.90809,                 0.7918,                0.88305,                0.51925,                 1.4312,                 1.1131,                 1.4183,               0.001505,               0.001505,               0.001505
                     13,                 1.5347,                 1.1157,                 1.3867,                0.89003,                0.82161,                0.88934,                0.52331,                 1.4681,                0.99668,                 1.4557,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.5198,                 1.1058,                 1.3942,                0.90261,                0.81703,                 0.8982,                  0.546,                 1.4243,                0.92388,                   1.42,               0.001406,               0.001406,               0.001406
                     15,                 1.4865,                 1.0647,                 1.3629,                0.90104,                0.83514,                0.89577,                0.54205,                 1.4269,                0.95678,                 1.4266,              0.0013565,              0.0013565,              0.0013565
                     16,                 1.4765,                 1.0347,                 1.3496,                0.91926,                0.83133,                0.91583,                0.56613,                  1.345,                0.91003,                 1.3666,               0.001307,               0.001307,               0.001307
                     17,                 1.4584,                 1.0021,                 1.3539,                0.91999,                0.81907,                0.91344,                  0.568,                 1.3706,                0.91981,                 1.3866,              0.0012575,              0.0012575,              0.0012575
                     18,                 1.4383,                0.99447,                  1.342,                0.91167,                0.85469,                0.91996,                0.57461,                 1.3488,                0.86909,                 1.3652,               0.001208,               0.001208,               0.001208
                     19,                 1.4208,                0.95547,                 1.3226,                0.94204,                0.82369,                0.92016,                0.55657,                 1.4075,                 0.8783,                 1.4037,              0.0011585,              0.0011585,              0.0011585
                     20,                 1.4133,                0.94174,                 1.3263,                0.92449,                0.82853,                0.91815,                0.58486,                 1.3298,                0.84739,                  1.349,               0.001109,               0.001109,               0.001109
                     21,                 1.3903,                0.91736,                 1.3051,                0.91214,                0.85574,                0.92886,                0.58821,                 1.3085,                0.79719,                 1.3443,              0.0010595,              0.0010595,              0.0010595
                     22,                 1.3879,                0.89801,                 1.2935,                0.90906,                0.87234,                 0.9296,                0.58323,                 1.3282,                0.83332,                 1.3568,                0.00101,                0.00101,                0.00101
                     23,                 1.3663,                0.88718,                 1.2949,                0.93369,                0.85263,                 0.9336,                0.59948,                 1.2934,                 0.7757,                 1.3433,              0.0009605,              0.0009605,              0.0009605
                     24,                 1.3497,                0.86735,                 1.2837,                0.92232,                0.85638,                0.93097,                  0.606,                  1.267,                0.77705,                 1.3156,               0.000911,               0.000911,               0.000911
                     25,                 1.3526,                 0.8555,                 1.2764,                0.92299,                0.86643,                0.93439,                0.61124,                 1.2647,                0.74284,                 1.3093,              0.0008615,              0.0008615,              0.0008615
                     26,                 1.3245,                0.83659,                 1.2713,                0.92644,                0.86465,                0.93965,                 0.6086,                 1.2622,                0.74602,                  1.308,               0.000812,               0.000812,               0.000812
                     27,                 1.3238,                0.82864,                 1.2667,                0.93854,                0.87022,                0.94513,                0.62278,                 1.2415,                0.71574,                 1.3079,              0.0007625,              0.0007625,              0.0007625
                     28,                 1.3073,                0.82018,                 1.2611,                0.92596,                0.87973,                0.94256,                0.61899,                 1.2481,                0.71621,                 1.3015,               0.000713,               0.000713,               0.000713
                     29,                  1.282,                0.80398,                 1.2409,                0.93982,                0.87616,                0.94558,                0.62747,                 1.2288,                0.69569,                  1.291,              0.0006635,              0.0006635,              0.0006635
                     30,                  1.275,                0.78129,                 1.2468,                0.94344,                0.87355,                0.95473,                0.63291,                 1.2281,                0.68707,                 1.2889,               0.000614,               0.000614,               0.000614
                     31,                 1.2205,                0.73654,                 1.2637,                0.94102,                0.86999,                0.94517,                0.63115,                 1.2345,                0.69692,                 1.2972,              0.0005645,              0.0005645,              0.0005645
                     32,                 1.2061,                0.70494,                  1.257,                0.94027,                0.88311,                0.95441,                0.63394,                 1.2067,                0.67998,                 1.2873,               0.000515,               0.000515,               0.000515
                     33,                 1.1905,                0.69114,                 1.2483,                0.93349,                0.89849,                0.95589,                0.64144,                 1.1947,                0.67482,                 1.2645,              0.0004655,              0.0004655,              0.0004655
                     34,                 1.1747,                0.68411,                 1.2375,                0.94692,                 0.8789,                0.95391,                0.64124,                 1.2072,                0.66794,                 1.2801,               0.000416,               0.000416,               0.000416
                     35,                 1.1631,                0.66212,                 1.2387,                0.94734,                0.89712,                 0.9572,                0.64312,                 1.2009,                0.66778,                 1.2691,              0.0003665,              0.0003665,              0.0003665
