                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0413,                0.56032,                 1.1139,                0.94601,                0.89225,                  0.949,                0.64654,                  1.187,                0.63699,                  1.304,              0.0033234,              0.0033234,              0.0033234
                      2,                 1.0606,                 0.5908,                 1.1176,                0.92907,                0.88869,                0.94273,                0.62011,                 1.2492,                0.66868,                 1.3614,              0.0066128,              0.0066128,              0.0066128
                      3,                 1.1326,                0.65486,                 1.1586,                0.93896,                0.89032,                0.95022,                0.61441,                 1.2872,                0.73732,                 1.3588,              0.0098582,              0.0098582,              0.0098582
                      4,                 1.1923,                0.69891,                 1.1915,                0.95649,                0.89136,                0.95059,                0.62838,                 1.2381,                0.66057,                  1.298,               0.009802,               0.009802,               0.009802
                      5,                 1.1861,                0.69774,                 1.1919,                0.94932,                0.88401,                0.95008,                0.61965,                 1.2403,                0.66741,                 1.3107,               0.009802,               0.009802,               0.009802
                      6,                 1.1911,                0.69226,                 1.1883,                0.94921,                0.91523,                0.96074,                0.63243,                 1.2288,                0.65381,                 1.2913,               0.009736,               0.009736,               0.009736
                      7,                 1.1927,                0.68357,                 1.1925,                0.95361,                0.87266,                0.94641,                0.60668,                 1.2658,                0.70654,                 1.3286,                0.00967,                0.00967,                0.00967
                      8,                 1.1991,                0.68166,                 1.1934,                0.93762,                0.89671,                0.94912,                0.62466,                 1.2541,                0.68042,                 1.3175,               0.009604,               0.009604,               0.009604
                      9,                 1.1687,                0.66135,                 1.1865,                0.95504,                0.90739,                0.96242,                0.63532,                 1.2205,                0.63023,                 1.2788,               0.009538,               0.009538,               0.009538
                     10,                 1.1694,                0.66973,                 1.1831,                0.95874,                0.88976,                0.96168,                0.64794,                 1.1906,                0.62223,                 1.2769,               0.009472,               0.009472,               0.009472
                     11,                 1.1594,                0.65845,                 1.1747,                0.97044,                0.90622,                0.96735,                0.63448,                 1.2092,                0.63532,                 1.2883,               0.009406,               0.009406,               0.009406
                     12,                 1.1682,                0.66539,                 1.1808,                0.96733,                0.89631,                0.96783,                0.65232,                 1.1829,                0.61952,                 1.2683,                0.00934,                0.00934,                0.00934
                     13,                 1.1584,                0.65095,                 1.1696,                0.95709,                0.91095,                0.96716,                0.65502,                 1.1707,                0.60192,                 1.2824,               0.009274,               0.009274,               0.009274
                     14,                 1.1584,                0.66478,                 1.1793,                 0.9635,                0.91541,                0.97097,                0.65539,                 1.1848,                 0.6131,                 1.2626,               0.009208,               0.009208,               0.009208
                     15,                 1.1464,                0.64652,                 1.1653,                0.96685,                 0.9089,                  0.964,                0.65446,                 1.1584,                0.59839,                 1.2593,               0.009142,               0.009142,               0.009142
                     16,                 1.1417,                0.64433,                 1.1566,                0.95464,                 0.9252,                0.96844,                0.65861,                 1.1744,                0.59748,                 1.2727,               0.009076,               0.009076,               0.009076
                     17,                 1.1376,                0.62955,                 1.1666,                0.96015,                0.90917,                0.96817,                 0.6575,                 1.1648,                0.60432,                 1.2619,                0.00901,                0.00901,                0.00901
                     18,                 1.1393,                0.63848,                  1.165,                0.95631,                0.91613,                 0.9652,                0.64535,                 1.2153,                 0.6016,                 1.3013,               0.008944,               0.008944,               0.008944
                     19,                 1.1311,                0.63144,                 1.1565,                0.95988,                0.91362,                0.96967,                0.65345,                 1.1921,                0.59628,                 1.2848,               0.008878,               0.008878,               0.008878
                     20,                 1.1272,                0.62737,                 1.1579,                0.96147,                0.92075,                 0.9701,                0.66833,                 1.1562,                0.58986,                 1.2433,               0.008812,               0.008812,               0.008812
                     21,                 1.1279,                0.63596,                 1.1544,                0.96775,                0.92431,                0.97368,                0.66505,                 1.1671,                0.57728,                 1.2621,               0.008746,               0.008746,               0.008746
                     22,                 1.1242,                0.62675,                 1.1496,                 0.9631,                0.92965,                 0.9709,                0.66425,                  1.161,                0.57784,                 1.2537,                0.00868,                0.00868,                0.00868
                     23,                 1.1181,                0.61905,                 1.1559,                0.95994,                0.92342,                0.97112,                 0.6526,                 1.1774,                0.59409,                 1.2743,               0.008614,               0.008614,               0.008614
                     24,                 1.1057,                0.61492,                 1.1457,                0.96096,                0.91808,                0.96856,                 0.6625,                 1.1772,                0.58279,                 1.2733,               0.008548,               0.008548,               0.008548
                     25,                 1.1148,                0.60933,                 1.1385,                0.96682,                0.91897,                0.97126,                0.67724,                 1.1358,                0.56971,                 1.2382,               0.008482,               0.008482,               0.008482
                     26,                 1.1149,                0.61249,                  1.153,                0.97102,                0.92494,                0.97404,                0.67093,                 1.1403,                0.56694,                 1.2463,               0.008416,               0.008416,               0.008416
                     27,                 1.1086,                0.61277,                  1.147,                0.96862,                0.93468,                 0.9746,                0.66532,                  1.159,                0.55558,                 1.2537,                0.00835,                0.00835,                0.00835
                     28,                 1.1073,                0.61743,                 1.1461,                0.97384,                0.92818,                0.97477,                0.66961,                 1.1518,                0.55051,                 1.2546,               0.008284,               0.008284,               0.008284
                     29,                 1.0847,                0.60019,                 1.1315,                0.97175,                0.93054,                0.97576,                0.66455,                 1.1467,                0.55517,                 1.2571,               0.008218,               0.008218,               0.008218
                     30,                 1.0882,                0.59916,                 1.1365,                0.96812,                0.91934,                0.97134,                0.67281,                 1.1268,                0.57122,                 1.2317,               0.008152,               0.008152,               0.008152
                     31,                 1.1034,                0.60542,                 1.1397,                0.97205,                0.92891,                0.97285,                0.66888,                 1.1427,                0.55159,                 1.2525,               0.008086,               0.008086,               0.008086
